sentence,language,contributor_id,gender,age_group,voice_clip,duration,Region
Mu buganda abakazi batono abakama ente.,Luganda,193,Female,18-29,yogera_text_audio_20240425_113518.961214_2374.wav,0.000833333,Central
Ekitongole kya disitulikiti eky'ebyobulamu kizzizzaamu abasawo amaanyi.,Luganda,722,Female,18-29,yogera_text_audio_20240425_102829.864212_2255.wav,0.001666667,Central
Minisita yagambye omulwadde eyasembayo okujjanjabwa Ebola yasiibukwa omwezi oguwedde.,Luganda,723,Female,18-29,yogera_text_audio_20240425_081812.195769_2239.wav,0.0025,Central
Kyetaagisa ssente nnyingi okuddukanya obulungi eby'obulamu.,Luganda,721,Female,18-29,yogera_text_audio_20240425_083623.212208_2314.wav,0.001944444,Central
Ebola yafuuka lugero mu Uganda.,Luganda,721,Female,18-29,yogera_text_audio_20240425_091025.448635_2238.wav,0.001111111,Central
Ssikyategana kulinda basawo ba nte nga zirwadde.,Luganda,181,Female,18-29,yogera_text_audio_20240426_114131.877908_2333.wav,0.001388889,Central
Essomero eryo lya Gavumenti kyokka basasuza ebisale ate nga biri waggulu.,Luganda,723,Female,18-29,yogera_text_audio_20240425_095353.315344_2139.wav,0.001666667,Central
Njagadde kwemulugunya ku mbeera y'abasawo mwe bakolera.,Luganda,723,Female,18-29,yogera_text_audio_20240425_084759.018877_2257.wav,0.001388889,Central
Miti ki emirungi okusimba?,Luganda,722,Female,18-29,yogera_text_audio_20240425_094203.475320_2073.wav,0.000833333,Central
Nnina abalimi bangi be ndabirako wano.,Luganda,181,Female,18-29,yogera_text_audio_20240426_120533.336160_2118.wav,0.001666667,Central
Oba lwaki zino essaawa mbeera nsumagira ku kibiina?,Luganda,723,Female,18-29,yogera_text_audio_20240425_095843.170289_2167.wav,0.001388889,Central
Pulezindenti Museveni yali afaayo nnyo ku masomero ga Gavumenti naye kati yakoowa.,Luganda,722,Female,18-29,yogera_text_audio_20240425_085802.315149_2144.wav,0.001944444,Central
Abaana abasinga mu byaalo tebasomera mu ngatto.,Luganda,722,Female,18-29,yogera_text_audio_20240425_103154.813956_2138.wav,0.001111111,Central
Twali tukimanyi oyo omwana tagenda kuyita kugenda mu kibiina kiddako.,Luganda,723,Female,18-29,yogera_text_audio_20240425_090645.684455_2204.wav,0.002222222,Central
Olina okumanya obulungi bw'omusaayi n'amazzi byolina mu mubiri.,Luganda,181,Female,18-29,yogera_text_audio_20240426_121126.454205_2300.wav,0.002222222,Central
Essomero eryo lya Gavumenti kyokka basasuza ebisale ate nga biri waggulu.,Luganda,722,Female,18-29,yogera_text_audio_20240425_083423.718451_2139.wav,0.001666667,Central
Omwana tasaanye kusomera mu kyalo ebbanga lyonna.,Luganda,721,Female,18-29,yogera_text_audio_20240425_092443.134249_2166.wav,0.001666667,Central
Nnina abalimi bangi be ndabirako wano.,Luganda,721,Female,18-29,yogera_text_audio_20240425_092620.578397_2118.wav,0.000833333,Central
Miti ki emirungi okusimba?,Luganda,723,Female,18-29,yogera_text_audio_20240425_085541.511872_2073.wav,0.000833333,Central
Gavumenti erina okuteeka eddagala mu malwaliro okusobola okulongoosa eby'obulamu.,Luganda,723,Female,18-29,yogera_text_audio_20240425_085844.308746_2315.wav,0.001944444,Central
Ssimanyi lwaki abalimi tebayambibwa mu mirimu gyabwe.,Luganda,722,Female,18-29,yogera_text_audio_20240425_091159.139353_2093.wav,0.001111111,Central
Omukulu w'essomero abbye ssente ez'ebibuuzo by'abaana.,Luganda,722,Female,18-29,yogera_text_audio_20240425_103453.077466_2176.wav,0.001388889,Central
Emmotoka eyabadde etwala abayizi okulambula yagudde naye kyamukisa tewali yafudde.,Luganda,181,Female,18-29,yogera_text_audio_20240426_105001.517766_2200.wav,0.002777778,Central
Bulijjo tebakimanyi nti mukyala wa Pulezindenti ate ye minisita w'ebyenjigiriza.,Luganda,181,Female,18-29,yogera_text_audio_20240426_091335.658086_2172.wav,0.001666667,Central
Buli muyizi yagambibwa okugula ekitabo.,Luganda,723,Female,18-29,yogera_text_audio_20240425_084050.627925_2123.wav,0.001111111,Central
Minista w'ebyenjigiriza yaweze amasomero kikumi mu munaana agatalina bisaanyizo.,Luganda,722,Female,18-29,yogera_text_audio_20240425_082406.126215_2134.wav,0.002222222,Central
Omuze gw'ebisiyaza gugenze gukendeera mu masomero.,Luganda,181,Female,18-29,yogera_text_audio_20240426_111429.103941_2168.wav,0.0025,Central
Obadde okimanyi nti mu ndwadde ezikwata omuntu olw'obukyafu mulimu ekiddukano?,Luganda,193,Female,18-29,yogera_text_audio_20240425_092353.931135_2287.wav,0.001666667,Central
Njagadde nsooke mu musomo gw'embizzi guno.,Luganda,722,Female,18-29,yogera_text_audio_20240425_113610.959974_2326.wav,0.001111111,Central
Nnina abalimi bangi be ndabirako wano.,Luganda,722,Female,18-29,yogera_text_audio_20240425_091945.212313_2118.wav,0.001111111,Central
